TrialNum,part,avatar,type,height,affordance,time,eyeHeight
1,0,0,0,1,0.8588197,8/9/2022 11:59,1.755
2,0,0,0,2,0.8626403,8/9/2022 12:00,
1,1,0,0,1,0.8138198,8/9/2022 12:01,
2,1,0,0,2,0.8976402,8/9/2022 12:02,
3,2,0,0,3,0.8138198,8/9/2022 12:02,
4,2,0,0,4,0.8176403,8/9/2022 12:03,
1,3,0,0,1,0.7788198,8/9/2022 12:03,
2,3,0,0,2,0.8426403,8/9/2022 12:04,
1,0,0,1,1,0.7638198,8/9/2022 12:05,
2,0,0,1,2,0.7526404,8/9/2022 12:06,
1,1,0,1,1,0.7888198,8/9/2022 12:06,
2,1,0,1,2,0.7926403,8/9/2022 12:07,
3,2,0,1,3,0.7938198,8/9/2022 12:07,
4,2,0,1,4,0.8176403,8/9/2022 12:08,
1,3,0,1,1,0.7638198,8/9/2022 12:08,
2,3,0,1,2,0.7476404,8/9/2022 12:09,
1,0,1,0,1,0.8288198,8/9/2022 12:10,
2,0,1,0,2,0.8126403,8/9/2022 12:10,
1,1,1,0,1,0.7688198,8/9/2022 12:11,
2,1,1,0,2,0.7826403,8/9/2022 12:12,
3,2,1,0,3,0.7638198,8/9/2022 12:13,
4,2,1,0,4,0.8376403,8/9/2022 12:14,
1,3,1,0,1,0.7738198,8/9/2022 12:15,
2,3,1,0,2,0.7926403,8/9/2022 12:15,
1,0,1,1,1,0.7938198,8/9/2022 12:16,
2,0,1,1,2,0.7676404,8/9/2022 12:16,
1,1,1,1,1,0.7838198,8/9/2022 12:16,
2,1,1,1,2,0.7676404,8/9/2022 12:17,
3,2,1,1,3,0.8388197,8/9/2022 12:17,
4,2,1,1,4,0.7976403,8/9/2022 12:18,
1,3,1,1,1,0.8088198,8/9/2022 12:19,
2,3,1,1,2,0.8576403,8/9/2022 12:19,
