Participant 1 Log:
0     2,1       (0.0, 0.4, 0.0)
0     2,1       (0.0, 0.9, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
0     2,1       (0.0, 0.0, 0.0)
